Tweets To Be Annotated,Ground_Truth_Non_Toxic,Ground_Truth_Toxicity,Ground_Truth_Severe_Toxicity,Ground_Truth_Identity_Attack,Ground_Truth_Insult,Ground_Truth_Profanity,Ground_Truth_Threat,Ground_Truth_Sexually_Explicit
im wearing a sweater and it's ike 80 degrees in my house,1,0,0,0,0,0,0,0
"For instance...Nikki said BET you won't fight her. I said bet? She said bet. Whipped a quick u-turn, whooped that ass, and went to jail &#128514;",0,1,0,1,1,1,0,0
@justezzzee your so fucking ignorant u talk a lot shit for someone who don't wanna fight your mama raised u as bitch huh?,0,0,1,0,1,1,0,0
Smoking Brooklyn got me high as giraffe pussy,0,0,0,0,0,1,0,1
@user can we expect to see more me:a during the rest of e3?   #andromeda #giveittomealready!,1,0,0,0,0,0,0,0
RT @TheDouch3: Tweeting about ur boyfriend won't get him off Xbox live that nigga gotta 24 kill streak rn bitch shut up,0,1,0,0,1,1,0,0
"@_Corayma @LuivilleSluggah TF do I look like, delivery bitch or what ahaha",1,0,0,0,0,0,0,0
"@coolieDAGGERA @CapoToHeaven why wld u wanna be a faggot, dude? That's faggot like",0,0,1,1,1,1,0,0
I got good credit. So my bitch credit gotta match mine,1,0,0,0,0,0,0,0
"bitch im DEAD!! &#128128;&#128128;&#128584; RT @KingHov1313: Them heauxs gon put balloons in a corner &amp; take pics talkin bout ""We in V.I.P""&#128553;",0,0,0,0,0,1,0,0
@user a #flower #blossoms for its own #joy. -oscar wilde #quote #trust #life #love #healthy #meditation #yoga,1,0,0,0,0,0,0,0
"I can't express how much I hate sam, he is by far hands down no questions asked my least favorite character , so bitch made #freaksandgeeks",0,0,0,1,0,1,0,0
This niggah @wherzdaBUDD is a fool,0,0,0,0,0,1,0,0
sunday brunch with brother! happy father's day jonathan Ã°ÂÂÂ   #father #day #brother #familyÃ¢ÂÂ¦,1,0,0,0,0,0,0,0
@ivanrabago_ @Buckm00se I blocked that annoying ass sand nigger claims to not be biased but yet no one can say anything about khan,0,1,0,1,0,1,0,0
"but you're an animal, baby its in your nature Ã°ÂÂÂ #girls #cute #summer #blur #sun   #fun #dogÃ¢ÂÂ¦",1,0,0,0,0,0,0,0
If you can't turn Instagram likes/follows into some real life shit #trash,1,0,0,0,0,1,0,0
&#8220;@Da_LoveBelow @bdvg_lat @DrTruth247 yall bare hoes yall dnt care bout ??&#8221; I spent my childhood in a wild hood,0,0,0,0,0,1,0,0
&#8220;@codyaveresch: Paint brushes over Bugattis #StundentPainters bitch&#8221; paint me like one of your French girls,1,0,0,0,0,0,0,0
